"ACCIDENT_DATE","ALCOHOL_RELATED","LONGITUDE","LATITUDE","LGA_NAME","STAT_DIV_NAME","Year","Month","Day","positive_rbt","conducted_rbt"
2013-07-02,"Yes",144.80134,-37.74003,"BRIMBANK","Metro",2013,7,2,11442,3482898
2013-07-04,"Yes",145.33968,-37.80663,"YARRA RANGES","Metro",2013,7,4,11442,3482898
2013-07-05,"Yes",144.98165,-37.43498,"MITCHELL","Country",2013,7,5,11442,3482898
2013-07-06,"Yes",145.02533,-37.82729,"BOROONDARA","Metro",2013,7,6,11442,3482898
2013-07-06,"Yes",145.02465,-37.93345,"BAYSIDE","Metro",2013,7,6,11442,3482898
2013-07-05,"Yes",145.03286,-37.57619,"WHITTLESEA","Metro",2013,7,5,11442,3482898
2013-07-06,"Yes",145.15941,-37.90772,"MONASH","Metro",2013,7,6,11442,3482898
2013-07-07,"Yes",145.10139,-38.00045,"KINGSTON","Metro",2013,7,7,11442,3482898
2013-07-09,"Yes",145.06968,-37.96711,"KINGSTON","Metro",2013,7,9,11442,3482898
2013-07-06,"Yes",147.26383,-37.5377,"WELLINGTON","Country",2013,7,6,11442,3482898
2013-07-12,"Yes",145.25306,-38.00377,"CASEY","Metro",2013,7,12,11442,3482898
2013-07-10,"Yes",144.94036,-37.78761,"MELBOURNE","Metro",2013,7,10,11442,3482898
2013-07-12,"Yes",145.65116,-37.15254,"MURRINDINDI","Country",2013,7,12,11442,3482898
2013-07-13,"Yes",143.86151,-37.54174,"BALLARAT","Country",2013,7,13,11442,3482898
2013-07-13,"Yes",145.02137,-37.63959,"WHITTLESEA","Metro",2013,7,13,11442,3482898
2013-07-12,"Yes",144.90431,-37.79488,"MARIBYRNONG","Metro",2013,7,12,11442,3482898
2013-07-13,"Yes",145.2074,-38.00196,"DANDENONG","Metro",2013,7,13,11442,3482898
2013-07-14,"Yes",145.22728,-37.95067,"KNOX","Metro",2013,7,14,11442,3482898
2013-07-13,"Yes",144.99009,-37.81688,"MELBOURNE","Metro",2013,7,13,11442,3482898
2013-07-18,"Yes",145.00873,-37.90637,"BAYSIDE","Metro",2013,7,18,11442,3482898
2013-07-16,"Yes",144.97534,-37.86098,"PORT PHILLIP","Metro",2013,7,16,11442,3482898
2013-07-06,"Yes",145.22024,-37.59165,"NILLUMBIK","Metro",2013,7,6,11442,3482898
2013-07-19,"Yes",143.84691,-37.57693,"BALLARAT","Country",2013,7,19,11442,3482898
2013-07-19,"Yes",143.85632,-37.56162,"BALLARAT","Country",2013,7,19,11442,3482898
2013-07-20,"Yes",144.96811,-37.79392,"MELBOURNE","Metro",2013,7,20,11442,3482898
2013-07-20,"Yes",144.93322,-37.80403,"MELBOURNE","Metro",2013,7,20,11442,3482898
2013-07-20,"Yes",145.10393,-37.57526,"WHITTLESEA","Metro",2013,7,20,11442,3482898
2013-07-20,"Yes",144.27105,-36.71917,"BENDIGO","Country",2013,7,20,11442,3482898
2013-07-21,"Yes",146.4295,-38.29103,"LATROBE","Country",2013,7,21,11442,3482898
2013-07-21,"Yes",145.78404,-38.10717,"BAW BAW","Country",2013,7,21,11442,3482898
2013-07-23,"Yes",145.08524,-37.89233,"STONNINGTON","Metro",2013,7,23,11442,3482898
2013-07-24,"Yes",145.19105,-38.24973,"MORNINGTON PENINSULA","Metro",2013,7,24,11442,3482898
2013-07-24,"Yes",145.07027,-37.67552,"WHITTLESEA","Metro",2013,7,24,11442,3482898
